sample_ID;include atlas;model;larry;species;CellLine_ID;sex;strain;genotype group;morphology/ grading;treatment;enriched fraction;path;mouse_ID
A36-03;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212224/outs/filtered_feature_bc_matrix.h5;BC34
A36-08;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212229/outs/filtered_feature_bc_matrix.h5;BC33
A36-09;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212230/outs/filtered_feature_bc_matrix.h5;BC37
A36-14;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-pos (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212236/outs/filtered_feature_bc_matrix.h5;BC41
A36-15;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212237/outs/filtered_feature_bc_matrix.h5;BC41
A36-21;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-pos (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212243/outs/filtered_feature_bc_matrix.h5;BC40
A36-22;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212244/outs/filtered_feature_bc_matrix.h5;BC40
A36-27;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID214469/outs/filtered_feature_bc_matrix.h5;BC32_72
GS16_56;yes;orthotopic;no;mouse;9091_Gsdmd-KO;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID214463/filtered_feature_bc_matrix.h5;GS16_56
GS22_04;yes;orthotopic;no;mouse;8442_Gsdmd-KO;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID214463/filtered_feature_bc_matrix.h5;GS22_04
A41-01_SFW207;yes;orthotopic;no;mouse;8442_Cxcl5_Cxcl1-KO;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202403_a/A41-01_SFW207/outs/filtered_feature_bc_matrix.h5;SFW207
